Ad_ID,Ad_Copy,Account_Age_Days,Historical_Flags,FailedAdGroupFraudRule
AD-202600141,"Standard household kitchen blender. 3 speeds, stainless steel blades.",23,1,0
AD-202600142,Earn standard rewards points back on everyday grocery purchases with our card.,392,0,0
AD-202600143,Earn standard rewards points back on everyday grocery purchases with our card.,655,1,0
AD-202600144,"Standard household kitchen blender. 3 speeds, stainless steel blades.",219,1,0
AD-202600145,Earn standard rewards points back on everyday grocery purchases with our card.,647,0,0
AD-202600146,Affordable life insurance policies for families. Get a free quote today.,408,0,0
AD-202600147,"Standard household kitchen blender. 3 speeds, stainless steel blades.",549,0,0
AD-202600148,Get rich quick! Earn $5000/day from home with zero risk. Register now!,132,0,101
AD-202600149,"Standard household kitchen blender. 3 speeds, stainless steel blades.",21,1,0
AD-202600150,Affordable life insurance policies for families. Get a free quote today.,527,0,0
AD-202600151,Affordable life insurance policies for families. Get a free quote today.,654,1,0
AD-202600152,Earn standard rewards points back on everyday grocery purchases with our card.,2,1,0
AD-202600153,Earn standard rewards points back on everyday grocery purchases with our card.,382,1,0
AD-202600154,Get rich quick! Earn $5000/day from home with zero risk. Register now!,167,1,101
AD-202600155,"Standard household kitchen blender. 3 speeds, stainless steel blades.",433,1,0
AD-202600156,Click here to see a shocking viral video! WARNING: explicit details inside.,481,0,103
AD-202600157,Affordable life insurance policies for families. Get a free quote today.,520,1,0
AD-202600158,Get rich quick! Earn $5000/day from home with zero risk. Register now!,362,2,101
AD-202600159,Click here to see a shocking viral video! WARNING: explicit details inside.,424,0,103
AD-202600160,"Standard household kitchen blender. 3 speeds, stainless steel blades.",248,0,0
AD-202600161,Affordable life insurance policies for families. Get a free quote today.,546,1,0
AD-202600162,Affordable life insurance policies for families. Get a free quote today.,567,1,0
AD-202600163,"Standard household kitchen blender. 3 speeds, stainless steel blades.",667,0,0
AD-202600164,"Standard household kitchen blender. 3 speeds, stainless steel blades.",573,0,0
AD-202600165,Affordable life insurance policies for families. Get a free quote today.,103,1,0
AD-202600166,"Standard household kitchen blender. 3 speeds, stainless steel blades.",26,1,0
AD-202600167,"Standard household kitchen blender. 3 speeds, stainless steel blades.",114,0,0
AD-202600168,Earn standard rewards points back on everyday grocery purchases with our card.,457,1,0
AD-202600169,Buy high-quality weight loss pills. Melt 20lbs in 48 hours guaranteed!,233,3,102
AD-202600170,Affordable life insurance policies for families. Get a free quote today.,46,1,0
AD-202600171,Affordable life insurance policies for families. Get a free quote today.,220,0,0
AD-202600172,"Standard household kitchen blender. 3 speeds, stainless steel blades.",494,0,0
AD-202600173,"Standard household kitchen blender. 3 speeds, stainless steel blades.",534,1,0
AD-202600174,"Standard household kitchen blender. 3 speeds, stainless steel blades.",246,0,0
AD-202600175,Get rich quick! Earn $5000/day from home with zero risk. Register now!,624,0,101
AD-202600176,Click here to see a shocking viral video! WARNING: explicit details inside.,686,5,103
AD-202600177,"Standard household kitchen blender. 3 speeds, stainless steel blades.",726,1,0
AD-202600178,Click here to see a shocking viral video! WARNING: explicit details inside.,698,1,103
AD-202600179,Affordable life insurance policies for families. Get a free quote today.,624,0,0
AD-202600180,Earn standard rewards points back on everyday grocery purchases with our card.,352,1,0
AD-202600181,Affordable life insurance policies for families. Get a free quote today.,583,1,0
AD-202600182,"Standard household kitchen blender. 3 speeds, stainless steel blades.",22,0,0
AD-202600183,"Standard household kitchen blender. 3 speeds, stainless steel blades.",298,1,0
AD-202600184,"Standard household kitchen blender. 3 speeds, stainless steel blades.",524,1,0
AD-202600185,Earn standard rewards points back on everyday grocery purchases with our card.,138,1,0
AD-202600186,Click here to see a shocking viral video! WARNING: explicit details inside.,647,2,103
AD-202600187,Earn standard rewards points back on everyday grocery purchases with our card.,20,0,0
AD-202600188,"Standard household kitchen blender. 3 speeds, stainless steel blades.",135,0,0
AD-202600189,"Standard household kitchen blender. 3 speeds, stainless steel blades.",617,1,0
AD-202600190,Earn standard rewards points back on everyday grocery purchases with our card.,261,1,0
AD-202600191,Affordable life insurance policies for families. Get a free quote today.,583,0,0
AD-202600192,"Standard household kitchen blender. 3 speeds, stainless steel blades.",315,0,0
AD-202600193,"Standard household kitchen blender. 3 speeds, stainless steel blades.",374,0,0
AD-202600194,Earn standard rewards points back on everyday grocery purchases with our card.,711,1,0
AD-202600195,Get rich quick! Earn $5000/day from home with zero risk. Register now!,402,5,101
AD-202600196,Affordable life insurance policies for families. Get a free quote today.,582,0,0
AD-202600197,Get rich quick! Earn $5000/day from home with zero risk. Register now!,137,2,101
AD-202600198,Earn standard rewards points back on everyday grocery purchases with our card.,39,0,0
AD-202600199,"Standard household kitchen blender. 3 speeds, stainless steel blades.",723,0,0
AD-202600200,"Standard household kitchen blender. 3 speeds, stainless steel blades.",169,0,0
AD-202600201,Get rich quick! Earn $5000/day from home with zero risk. Register now!,500,2,101
AD-202600202,"Standard household kitchen blender. 3 speeds, stainless steel blades.",216,1,0
AD-202600203,Earn standard rewards points back on everyday grocery purchases with our card.,139,1,0
AD-202600204,Earn standard rewards points back on everyday grocery purchases with our card.,131,0,0
AD-202600205,Buy high-quality weight loss pills. Melt 20lbs in 48 hours guaranteed!,374,4,102
AD-202600206,Buy high-quality weight loss pills. Melt 20lbs in 48 hours guaranteed!,309,0,102
AD-202600207,"Standard household kitchen blender. 3 speeds, stainless steel blades.",384,1,0
AD-202600208,"Standard household kitchen blender. 3 speeds, stainless steel blades.",189,0,0
AD-202600209,"Standard household kitchen blender. 3 speeds, stainless steel blades.",685,1,0
AD-202600210,Get rich quick! Earn $5000/day from home with zero risk. Register now!,529,2,101
AD-202600211,"Standard household kitchen blender. 3 speeds, stainless steel blades.",268,0,0
AD-202600212,Click here to see a shocking viral video! WARNING: explicit details inside.,259,4,103
AD-202600213,"Standard household kitchen blender. 3 speeds, stainless steel blades.",705,0,0
AD-202600214,"Standard household kitchen blender. 3 speeds, stainless steel blades.",25,0,0
AD-202600215,Earn standard rewards points back on everyday grocery purchases with our card.,160,1,0
AD-202600216,Affordable life insurance policies for families. Get a free quote today.,32,0,0
AD-202600217,Earn standard rewards points back on everyday grocery purchases with our card.,210,0,0
AD-202600218,Buy high-quality weight loss pills. Melt 20lbs in 48 hours guaranteed!,636,2,102
AD-202600219,Affordable life insurance policies for families. Get a free quote today.,387,0,0
AD-202600220,Earn standard rewards points back on everyday grocery purchases with our card.,95,0,0
AD-202600221,Earn standard rewards points back on everyday grocery purchases with our card.,267,0,0
AD-202600222,Get rich quick! Earn $5000/day from home with zero risk. Register now!,673,4,101
AD-202600223,Affordable life insurance policies for families. Get a free quote today.,324,0,0
AD-202600224,"Standard household kitchen blender. 3 speeds, stainless steel blades.",106,0,0
AD-202600225,Buy high-quality weight loss pills. Melt 20lbs in 48 hours guaranteed!,41,1,102
AD-202600226,Affordable life insurance policies for families. Get a free quote today.,162,1,0
AD-202600227,Affordable life insurance policies for families. Get a free quote today.,275,1,0
AD-202600228,Earn standard rewards points back on everyday grocery purchases with our card.,517,0,0
AD-202600229,"Standard household kitchen blender. 3 speeds, stainless steel blades.",59,0,0
AD-202600230,Affordable life insurance policies for families. Get a free quote today.,140,1,0
AD-202600231,Earn standard rewards points back on everyday grocery purchases with our card.,91,1,0
AD-202600232,Earn standard rewards points back on everyday grocery purchases with our card.,179,1,0
AD-202600233,Earn standard rewards points back on everyday grocery purchases with our card.,476,0,0
AD-202600234,Click here to see a shocking viral video! WARNING: explicit details inside.,306,0,103
AD-202600235,"Standard household kitchen blender. 3 speeds, stainless steel blades.",715,0,0
AD-202600236,"Standard household kitchen blender. 3 speeds, stainless steel blades.",674,0,0
AD-202600237,Earn standard rewards points back on everyday grocery purchases with our card.,219,1,0
AD-202600238,"Standard household kitchen blender. 3 speeds, stainless steel blades.",571,1,0
AD-202600239,Affordable life insurance policies for families. Get a free quote today.,53,1,0
AD-202600240,Affordable life insurance policies for families. Get a free quote today.,551,1,0
AD-202600241,"Standard household kitchen blender. 3 speeds, stainless steel blades.",90,1,0
AD-202600242,Affordable life insurance policies for families. Get a free quote today.,696,0,0
AD-202600243,Get rich quick! Earn $5000/day from home with zero risk. Register now!,291,1,101
AD-202600244,Get rich quick! Earn $5000/day from home with zero risk. Register now!,138,4,101
AD-202600245,Earn standard rewards points back on everyday grocery purchases with our card.,340,0,0
AD-202600246,Click here to see a shocking viral video! WARNING: explicit details inside.,450,4,103
AD-202600247,Earn standard rewards points back on everyday grocery purchases with our card.,620,0,0
AD-202600248,Get rich quick! Earn $5000/day from home with zero risk. Register now!,460,2,101
AD-202600249,Affordable life insurance policies for families. Get a free quote today.,670,1,0
AD-202600250,Get rich quick! Earn $5000/day from home with zero risk. Register now!,78,1,101
AD-202600251,Click here to see a shocking viral video! WARNING: explicit details inside.,7,1,103
AD-202600252,Earn standard rewards points back on everyday grocery purchases with our card.,260,1,0
AD-202600253,"Standard household kitchen blender. 3 speeds, stainless steel blades.",317,1,0
AD-202600254,Get rich quick! Earn $5000/day from home with zero risk. Register now!,447,1,101
AD-202600255,Affordable life insurance policies for families. Get a free quote today.,402,1,0
AD-202600256,Earn standard rewards points back on everyday grocery purchases with our card.,405,0,0
AD-202600257,"Standard household kitchen blender. 3 speeds, stainless steel blades.",98,0,0
AD-202600258,Earn standard rewards points back on everyday grocery purchases with our card.,694,1,0
AD-202600259,"Standard household kitchen blender. 3 speeds, stainless steel blades.",35,1,0
AD-202600260,Get rich quick! Earn $5000/day from home with zero risk. Register now!,40,4,101
AD-202600261,Click here to see a shocking viral video! WARNING: explicit details inside.,291,5,103
AD-202600262,"Standard household kitchen blender. 3 speeds, stainless steel blades.",463,1,0
AD-202600263,Affordable life insurance policies for families. Get a free quote today.,284,1,0
AD-202600264,Affordable life insurance policies for families. Get a free quote today.,612,1,0
AD-202600265,Buy high-quality weight loss pills. Melt 20lbs in 48 hours guaranteed!,78,0,102
AD-202600266,Buy high-quality weight loss pills. Melt 20lbs in 48 hours guaranteed!,647,5,102
AD-202600267,Affordable life insurance policies for families. Get a free quote today.,677,0,0
AD-202600268,Affordable life insurance policies for families. Get a free quote today.,481,0,0
AD-202600269,Get rich quick! Earn $5000/day from home with zero risk. Register now!,670,3,101
AD-202600270,Earn standard rewards points back on everyday grocery purchases with our card.,507,1,0
AD-202600271,"Standard household kitchen blender. 3 speeds, stainless steel blades.",57,0,0
AD-202600272,Buy high-quality weight loss pills. Melt 20lbs in 48 hours guaranteed!,35,0,102
AD-202600273,"Standard household kitchen blender. 3 speeds, stainless steel blades.",538,0,0
AD-202600274,"Standard household kitchen blender. 3 speeds, stainless steel blades.",16,0,0
AD-202600275,Affordable life insurance policies for families. Get a free quote today.,730,0,0
AD-202600276,Get rich quick! Earn $5000/day from home with zero risk. Register now!,582,3,101
AD-202600277,"Standard household kitchen blender. 3 speeds, stainless steel blades.",283,0,0
AD-202600278,Buy high-quality weight loss pills. Melt 20lbs in 48 hours guaranteed!,337,1,102
AD-202600279,"Standard household kitchen blender. 3 speeds, stainless steel blades.",46,0,0
AD-202600280,"Standard household kitchen blender. 3 speeds, stainless steel blades.",198,1,0
AD-202600281,Earn standard rewards points back on everyday grocery purchases with our card.,450,0,0
AD-202600282,"Standard household kitchen blender. 3 speeds, stainless steel blades.",271,1,0
AD-202600283,"Standard household kitchen blender. 3 speeds, stainless steel blades.",597,1,0
AD-202600284,"Standard household kitchen blender. 3 speeds, stainless steel blades.",81,1,0
AD-202600285,Affordable life insurance policies for families. Get a free quote today.,619,1,0
AD-202600286,Get rich quick! Earn $5000/day from home with zero risk. Register now!,607,0,101
AD-202600287,Earn standard rewards points back on everyday grocery purchases with our card.,94,1,0
AD-202600288,Affordable life insurance policies for families. Get a free quote today.,234,1,0
AD-202600289,"Standard household kitchen blender. 3 speeds, stainless steel blades.",662,1,0
AD-202600290,"Standard household kitchen blender. 3 speeds, stainless steel blades.",33,1,0
AD-202600291,Click here to see a shocking viral video! WARNING: explicit details inside.,408,3,103
AD-202600292,Click here to see a shocking viral video! WARNING: explicit details inside.,691,2,103
AD-202600293,Earn standard rewards points back on everyday grocery purchases with our card.,482,0,0
AD-202600294,Earn standard rewards points back on everyday grocery purchases with our card.,666,1,0
AD-202600295,Affordable life insurance policies for families. Get a free quote today.,655,0,0
AD-202600296,"Standard household kitchen blender. 3 speeds, stainless steel blades.",170,1,0
AD-202600297,Buy high-quality weight loss pills. Melt 20lbs in 48 hours guaranteed!,324,5,102
AD-202600298,Get rich quick! Earn $5000/day from home with zero risk. Register now!,592,5,101
AD-202600299,Get rich quick! Earn $5000/day from home with zero risk. Register now!,428,4,101
AD-202600300,Get rich quick! Earn $5000/day from home with zero risk. Register now!,700,4,101
AD-202600301,Earn standard rewards points back on everyday grocery purchases with our card.,55,1,0
AD-202600302,Buy high-quality weight loss pills. Melt 20lbs in 48 hours guaranteed!,238,0,102
AD-202600303,"Standard household kitchen blender. 3 speeds, stainless steel blades.",258,0,0
AD-202600304,Buy high-quality weight loss pills. Melt 20lbs in 48 hours guaranteed!,669,1,102
AD-202600305,Earn standard rewards points back on everyday grocery purchases with our card.,201,1,0
AD-202600306,"Standard household kitchen blender. 3 speeds, stainless steel blades.",305,0,0
AD-202600307,Affordable life insurance policies for families. Get a free quote today.,693,0,0
AD-202600308,"Standard household kitchen blender. 3 speeds, stainless steel blades.",131,0,0
AD-202600309,Earn standard rewards points back on everyday grocery purchases with our card.,349,0,0
AD-202600310,Get rich quick! Earn $5000/day from home with zero risk. Register now!,684,0,101
AD-202600311,"Standard household kitchen blender. 3 speeds, stainless steel blades.",670,0,0
AD-202600312,Buy high-quality weight loss pills. Melt 20lbs in 48 hours guaranteed!,137,3,102
AD-202600313,Buy high-quality weight loss pills. Melt 20lbs in 48 hours guaranteed!,591,3,102
AD-202600314,Buy high-quality weight loss pills. Melt 20lbs in 48 hours guaranteed!,560,1,102
AD-202600315,"Standard household kitchen blender. 3 speeds, stainless steel blades.",274,0,0
AD-202600316,Affordable life insurance policies for families. Get a free quote today.,550,0,0
AD-202600317,Earn standard rewards points back on everyday grocery purchases with our card.,285,1,0
AD-202600318,Buy high-quality weight loss pills. Melt 20lbs in 48 hours guaranteed!,112,4,102
AD-202600319,"Standard household kitchen blender. 3 speeds, stainless steel blades.",547,0,0
AD-202600320,Affordable life insurance policies for families. Get a free quote today.,300,0,0
AD-202600321,"Standard household kitchen blender. 3 speeds, stainless steel blades.",114,0,0
AD-202600322,Earn standard rewards points back on everyday grocery purchases with our card.,441,1,0
AD-202600323,Affordable life insurance policies for families. Get a free quote today.,482,0,0
AD-202600324,Earn standard rewards points back on everyday grocery purchases with our card.,714,0,0
AD-202600325,Earn standard rewards points back on everyday grocery purchases with our card.,639,0,0
AD-202600326,Buy high-quality weight loss pills. Melt 20lbs in 48 hours guaranteed!,67,3,102
AD-202600327,Buy high-quality weight loss pills. Melt 20lbs in 48 hours guaranteed!,540,1,102
AD-202600328,Buy high-quality weight loss pills. Melt 20lbs in 48 hours guaranteed!,55,5,102
AD-202600329,"Standard household kitchen blender. 3 speeds, stainless steel blades.",718,0,0
AD-202600330,Earn standard rewards points back on everyday grocery purchases with our card.,381,0,0
AD-202600331,Buy high-quality weight loss pills. Melt 20lbs in 48 hours guaranteed!,683,1,102
AD-202600332,"Standard household kitchen blender. 3 speeds, stainless steel blades.",730,1,0
AD-202600333,Earn standard rewards points back on everyday grocery purchases with our card.,591,0,0
AD-202600334,Get rich quick! Earn $5000/day from home with zero risk. Register now!,274,1,101
AD-202600335,"Standard household kitchen blender. 3 speeds, stainless steel blades.",309,1,0
AD-202600336,Get rich quick! Earn $5000/day from home with zero risk. Register now!,616,0,101
AD-202600337,Click here to see a shocking viral video! WARNING: explicit details inside.,450,5,103
AD-202600338,"Standard household kitchen blender. 3 speeds, stainless steel blades.",612,1,0
AD-202600339,"Standard household kitchen blender. 3 speeds, stainless steel blades.",396,1,0
AD-202600340,Earn standard rewards points back on everyday grocery purchases with our card.,466,0,0
AD-202600341,Buy high-quality weight loss pills. Melt 20lbs in 48 hours guaranteed!,478,1,102
AD-202600342,Click here to see a shocking viral video! WARNING: explicit details inside.,357,4,103
AD-202600343,Affordable life insurance policies for families. Get a free quote today.,668,0,0
AD-202600344,Affordable life insurance policies for families. Get a free quote today.,14,1,0
AD-202600345,Earn standard rewards points back on everyday grocery purchases with our card.,412,0,0
AD-202600346,Earn standard rewards points back on everyday grocery purchases with our card.,420,1,0
AD-202600347,"Standard household kitchen blender. 3 speeds, stainless steel blades.",340,1,0
AD-202600348,"Standard household kitchen blender. 3 speeds, stainless steel blades.",632,1,0
